blocks,delta_cp_deg,dm21,dm31,dm32,eps,g_diag,g_off,jarlskog,label,m_light,ok_3d,phase12_pi,phase23_pi,score,theta12,theta13,theta23,theta_e_deg,ue3,um3,ut3
"[[0], [1], [2]]",58.6859473170224,-5.0679067502031915e-14,-4.8574897184676904e-14,2.1041703173550144e-15,0.01,0.675,1.0,1.4119334839299276e-05,split,"[2.3330197157396875e-07, 6.124330525264787e-08, 7.651740165233018e-08]",False,0.088,0.016,2949.7538499645234,6.711573965299657,0.19379561389698277,87.58516329273878,5.729577951308233,0.0033823650891281754,0.9991062377925882,0.04213413355397307
"[[0], [1], [2]]",41.288631978401654,-3.957182088754965e-14,-3.765368248496002e-14,1.918138402589628e-15,0.01,0.7,1.0,9.711432038616856e-06,split,"[2.0920989442045944e-07, 6.478394118815354e-08, 7.819908847588803e-08]",False,0.088,0.016,2991.3486439381777,6.988793173632697,0.2337975955700244,88.28783595747987,5.729577951308233,0.0040805265019234396,0.9995452177066644,0.029878203814892063
"[[0], [1], [2]]",32.20504386487817,-3.02787080846572e-14,-2.855277730615673e-14,1.7259307785004692e-15,0.01,0.725,1.0,5.517164039009645e-06,split,"[1.86895602635412e-07, 6.820013342946349e-08, 7.985730385066285e-08]",False,0.088,0.016,3038.9251936310175,7.353805629065243,0.31114661262528337,89.13944278712798,5.729577951308233,0.005430506155087173,0.9998724649335335,0.015018770610122729
"[[0], [1], [2]]",-177.4376869044359,-2.2559302006565642e-14,-2.1028445013949855e-14,1.5308569926157882e-15,0.01,0.75,1.0,-3.13505586526342e-07,split,"[1.663393128609176e-07, 7.148052179773581e-08, 8.148817085376486e-08]",False,0.088,0.016,3041.959953903527,7.858576228255515,0.45363074483254995,89.62528020490704,5.729577951308233,0.00791726737009549,0.9999472722780033,0.006539842595322334
"[[0], [1], [2]]",-173.00024322314138,-1.619212855057668e-14,-1.485513779589097e-14,1.3369907546857118e-15,0.01,0.775,1.0,-7.483227888515958e-06,split,"[1.4750803977084073e-07, 7.460893543309171e-08, 8.308720720511046e-08]",False,0.088,0.016,2841.3176256942133,8.599959810381142,0.6897470765705775,88.02142517876135,5.729577951308233,0.012038066723692339,0.9993313905103296,0.0345232804097061
"[[0, 1], [2]]",-176.39539578349363,-1.0979523243276946e-14,-9.828963435788175e-15,1.1505598074887697e-15,0.01,0.8,1.0,-1.4261113886290057e-05,1⊕2,"[1.3036434964235091e-07, 7.755862566082624e-08, 8.465164039689334e-08]",False,0.088,0.016,2570.1606726375385,9.793277061358424,1.0944495100962246,85.92534148662395,5.729577951308233,0.019100585838604706,0.9972903364471248,0.07104331389935753
"[[0, 1], [2]]",-178.29533261368363,-6.75652729946976e-15,-5.7724184208721e-15,9.841088785976597e-16,0.01,0.825,1.0,-2.338787478232969e-05,1⊕2,"[1.1489186077866359e-07, 8.027211454617385e-08, 8.618422855901024e-08]",False,0.088,0.016,2187.7239222943754,12.035244971173318,1.8870454564145918,83.22157260798065,5.729577951308233,0.03292920241019788,0.9924714958828857,0.1179660861799481
"[[0, 1, 2]]",-179.4220995870398,-3.4353461572726767e-15,-2.55983988134611e-15,8.755062759265666e-16,0.01,0.85,1.0,-3.377297071831343e-05,3D,"[1.0122908349762602e-07, 8.253472716679121e-08, 8.7678318097596e-08]",True,0.088,0.016,1619.2945913769968,17.692739032538736,4.014526829677088,80.30463367750127,5.729577951308233,0.07000939489392602,0.9832984696781953,0.167996440900114
"[[0, 1, 2]]",0.48985413172029896,-1.5148101870376449e-15,-4.462732367884331e-16,1.0685369502492118e-15,0.01,0.875,1.0,3.923324778515008e-05,3D,"[9.13186849752045e-08, 8.260927332063268e-08, 8.88415949249686e-08]",True,0.088,0.016,2234.670947313019,44.43154426712654,15.377472910069455,87.8645674667912,5.729577951308233,0.26517704175879625,0.9635301423982546,0.03592772208271799
"[[0, 1], [2]]",179.82762635424086,2.327822326153505e-15,2.7434445047668414e-15,4.156221786133362e-16,0.01,0.9,1.0,3.970426232952492e-05,1⊕2,"[7.484302909745194e-08, 8.904662447636936e-08, 9.135055286777897e-08]",False,0.088,0.016,494.0106647968927,11.20439352345971,8.123070843843921,44.96918741320465,3.750978117722195,0.14129986559466517,0.6996357124622523,0.7003886191468035
"[[0], [1], [2]]",179.91981642093182,3.900372227018e-15,4.416299801885381e-15,5.159275748673808e-16,0.01,0.925,1.0,4.819647108461851e-06,split,"[6.527362650448411e-08, 9.033835588533195e-08, 9.315012677893827e-08]",False,0.088,0.016,946.7945290928567,5.089318671454865,4.645752853077784,37.824804615010976,2.526491753226497,0.08099486441499498,0.6112342535425013,0.7872944298258041
"[[0], [1], [2]]",179.77054792096837,5.8619003421506155e-15,5.208695307745194e-15,-6.532050344054217e-16,0.01,0.95,1.0,4.927550549084537e-06,split,"[5.647010970010405e-08, 9.513555398321072e-08, 9.163824854986579e-08]",False,0.088,0.016,1322.115249371487,3.2015049357017733,2.910977860264976,59.69613240906162,2.252485011867257,0.05078429358242888,0.8622474493194384,0.503934808946015
