eps,phase12_pi,phase23_pi,ok_3d,blocks,theta12,theta13,theta23,deltaCP_deg,J,dm21,dm31,dm32,sum_mnu,ordering,Ue_theta_deg,score
0.01,0.078,0.016,True,"[[0, 1, 2]]",27.26444844178845,7.5267476834721885,46.00141492530006,-16.019670831161587,-0.007229247058119168,6.965460759440152e-07,3.2807218300613925e-06,2.5841757541173773e-06,0.007745311249567938,NO,4.568550106784591,45.559047985679776
0.01,0.078,0.018,True,"[[0, 1, 2]]",27.105266379255085,7.4577020063246104,46.0278469181389,-19.118620808959697,-0.008470209661660705,6.984893031862134e-07,3.2654568575566014e-06,2.566967554370388e-06,0.007744831515981043,NO,4.568550106784591,48.50920888139293
0.01,0.078,0.02,True,"[[0, 1, 2]]",26.993228018718302,7.383334726202433,46.05419752934191,-22.227637147751235,-0.009661536160423262,7.01439555055004e-07,3.251210024653448e-06,2.549770469598444e-06,0.00774437129078674,NO,4.568550106784633,51.03970598179624
0.01,0.078,0.022,True,"[[0, 1, 2]]",26.928287503357954,7.3034922253465115,46.08042747844262,-25.3318902870414,-0.010795799393399743,7.053672792423163e-07,3.237985924163575e-06,2.532618644921259e-06,0.007743930493028888,NO,4.568550106784112,53.13598063378833
0.01,0.078,0.024,True,"[[0, 1, 2]]",26.90942711679855,7.2180260623101935,46.10655521603696,-28.417255407266417,-0.011866266857995285,7.102429790290716e-07,3.2257848433197353e-06,2.5155418642906637e-06,0.007743510541796849,NO,4.568550106784112,54.81111258501178
0.01,0.078,0.026,True,"[[0, 1, 2]]",26.935266928978464,7.126814777887335,46.13252272447666,-31.470758495077963,-0.012867147992839943,7.160271066644375e-07,3.214601904768147e-06,2.4985747981037094e-06,0.007743109982610132,NO,4.568550106784633,56.09702959292238
0.01,0.078,0.028,True,"[[0, 1, 2]]",27.00374642296618,7.029723121415166,46.158270063170455,-34.48102048885898,-0.013793481641473534,7.226780795058435e-07,3.2044370503612288e-06,2.4817589708553853e-06,0.0077427293494567295,NO,4.568550106784112,57.04826621346358
0.01,0.078,0.03,True,"[[0, 1, 2]]",27.112276853636395,6.926637653778918,46.18378582895641,-37.438522704412144,-0.014641183590468058,7.301531797869689e-07,3.195284382236815e-06,2.4651312024498463e-06,0.007742368894955701,NO,4.568550106784112,57.73766050465778
0.01,0.078,0.032,True,"[[0, 1, 2]]",27.257996337661613,6.817460024726725,46.20904490253991,-40.33584179432062,-0.015407079141594495,7.384061072831417e-07,3.1871364317199747e-06,2.448730324436833e-06,0.007742028217452845,NO,4.568550106784112,58.250691145219356
0.01,0.08,0.012,True,"[[0, 1, 2]]",28.415346995023175,7.747682072221025,45.8620990361477,-8.93892711473252,-0.0043018725344000095,6.855461333193611e-07,3.359898711213908e-06,2.674352577894547e-06,0.007747567512846935,NO,4.568550106784064,29.948655428231945
0.01,0.08,0.014,True,"[[0, 1, 2]]",28.15364442661649,7.690507311928742,45.88745003481132,-11.95845748791468,-0.005661639238372705,6.85030695080847e-07,3.3422900796658427e-06,2.6572593845849957e-06,0.007747037697543731,NO,4.568550106784064,33.27487606458931
